route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
01,1,1,,,3,,,
02,1,2,,,3,,,
03,1,3,,,3,,,
04,1,4,,,3,,,
05,1,5,,,3,,,
07,1,7,,,3,,,
08,1,8,,,3,,,
09,1,9,,,3,,,
11,1,11,,,3,,,
12,1,12,,,3,,,
14,1,14,,,3,,,
16,1,16,,,3,,,
17,1,17,,,3,,,
18,1,18,,,3,,,
19,1,19,,,3,,,
22,1,22,,,3,,,
23,1,23,,,3,,,
24,1,24,,,3,,,
X1B,1,X1B,,,3,,,
X5,1,X5,,,3,,,
X1A,1,X1A,,,3,,,
34,1,34,,,3,,,
40,1,40,,,3,,,
41,1,41,,,3,,,
42,1,42,,,3,,,
43,1,43,,,3,,,
60,1,60,,,3,,,
61,1,61,,,3,,,
64,1,64,,,3,,,
65,1,65,,,3,,,
66,1,66,,,3,,,
80,1,80,LS BELMONT,WAYNE/PHILLIPS,3,,,
87,1,87,LS MEADOWDALE,WOLF/TUNER,3,,,
90,1,90,LS DUNBAR,RICHLEY/DENNISON,3,,,
92,1,92,LS THURGOOD MARSHALL,ELMHURST/HOOVER,3,,,
