stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
421,,SPRINGFIELD & NORTHCLIFF (NODE ONLY,Springfield St & N Garden St,39.780449,-84.130158,,,,,0
10003,,W 3RD ST @ N PERRY ST,W 3rd St & N Wilkinson St,39.758892,-84.195975,,,,,0
10005,,W 3RD ST @ N ST MARYS ST,W 3rd St & N Saint Marys St,39.758362,-84.199271,,,,,0
10007,,W 3RD ST @ GRIMES ST,,39.757043,-84.207543,,,,,0
10008,,W 3RD ST @ SWEETMAN ST,W 3rd St & Sweetman St,39.756744,-84.209385,,,,,0
10009,,W 3RD ST @ N WILLIAMS ST,W 3rd St & N Williams St,39.756286,-84.211657,,,,,0
10010,,W 3RD ST @ N BROADWAY ST,,39.756028,-84.213645,,,,,0
10011,,W 3RD ST @ N PAUL LAWRENCE DUNBAR,,39.75538,-84.217613,,,,,0
10012,,W 3RD ST @ N EUCLID AV,,39.754901,-84.220368,,,,,0
10014,,W 3RD ST @ JAMES H MCGEE BLVD,,39.754386,-84.223597,,,,,0
10015,,W 3RD ST @ CLEMMER ST,,39.753956,-84.22615,,,,,0
10016,,W 3RD ST @ ORCHARD AV,,39.753573,-84.228433,,,,,0
10017,,W 3RD ST @ N WOODWARD AV,Us 35 & W 3rd St,39.753266,-84.229928,,,,,0
10021,,W 3RD ST @ ANNA ST,W 3rd St & Us 35,39.752204,-84.236343,,,,,0
10023,,W 3RD ST @ BROOKLYN AV,Us 35 & Brooklyn Av,39.751628,-84.239792,,,,,0
10026,,W 3RD ST @ N HALLOWAY ST,Us 35 & N Halloway St,39.750773,-84.244948,,,,,0
10028,,W 3RD ST @ N DECKER AV,W 3rd St & S Upland Av,39.750323,-84.247656,,,,,0
10032,,W 3RD ST @ N GETTYSBURG AV,Us 35 & S Hatfield St,39.749495,-84.252611,,,,,0
10033,,W 3RD ST @ 4200 W 3RD ST,,39.749063,-84.255742,,,,,0
10034,,W 3RD ST @ ELMHURST RD,W 3RD ST & MELWOOD AVE,39.748624,-84.258328,,,,,0
10035,,W 3RD ST @ ALMOND AV,Us 35 & W 3rd St,39.747937,-84.262086,,,,,0
10037,,W 3RD ST @ MIA AV,,39.747388,-84.265737,,,,,0
10039,,W 3RD ST @ CROWN AV,,39.74683,-84.26924,,,,,0
10040,,W 3RD ST @ VICTORY DR,,39.746761,-84.271527,,,,,0
10041,,W 3RD ST @ CHAIN AV,,39.746703,-84.274162,,,,,0
10043,,W 3RD ST @ ELKINS AV,,39.746686,-84.277558,,,,,0
10045,,W 3RD ST @ HANNA AV,,39.746643,-84.280496,,,,,0
10046,,W 3RD ST @ MILLER AV,,39.74662,-84.28171,,,,,0
10047,,W 3RD ST @ N LANSDOWNE AV,,39.746602,-84.284412,,,,,0
10050,,W 3RD ST @ OLIVE RD,,39.746528,-84.292574,,,,,0
10051,,3RD @ IONA,,39.746323,-84.294303,,,,,0
10052,,W 3RD ST @ S NORTHAMPTON RD,,39.746361,-84.291404,,,,,0
10053,,W 3RD ST @ US 35,Us 35 & Lensdale Av,39.746403,-84.288141,,,,,0
10054,,W 3RD ST @ TAFT AV,W 3rd St & Lensdale Av,39.746425,-84.285809,,,,,0
10055,,W 3RD ST @ DAVENPORT AV,,39.746441,-84.284264,,,,,0
